1,159
2,44
3,622
4,44
5,389
6,44
7,389
8,44
9,389
10,44
11,2344
12,44
13,849
14,44
15,849
16,44
17,6279
18,44
19,160
20,44
21,160
22,44
23,160
24,44
25,160
26,44
27,160
28,44
29,160
30,44
31,160
32,44
33,160
34,44
35,160
36,44
37,160
38,44
39,160
40,44
41,160
42,44
43,160
44,44
45,160
46,44
47,160
48,44
49,160
50,44
51,160
52,44
53,160
54,44
55,160
56,44
57,160
58,44
59,160
60,44
61,160
62,44
63,160
64,44
65,160
66,44
67,160
68,44
69,160
70,44
71,160
72,44
73,160
74,44
75,160
76,44
77,160
78,44
79,160
80,44
81,160
82,44
83,160
84,44
85,160
86,44
87,160
88,44
89,160
90,44
91,160
92,44
93,160
94,44
95,160
96,44
97,160
98,44
99,160
100,44
101,160
102,44
103,734
104,44
105,1043
106,44
107,236
108,44
109,161
110,44
111,849
112,44
113,923
114,44
115,1077
116,44
117,1537
118,44
119,849
120,44
121,733
122,44
123,1192
124,44
125,734
126,44
127,963
128,44
129,734
130,44
131,18284
132,44
133,161
134,44
135,161
136,44
137,161
138,44
139,161
140,44
141,161
142,44
143,161
144,44
145,161
146,44
147,161
148,44
149,161
150,44
151,161
152,44
153,161
154,44
155,161
156,44
157,161
158,44
159,161
160,44
161,161
162,44
163,161
164,44
165,161
166,44
167,161
168,44
169,161
170,44
171,161
172,44
173,161
174,44
175,161
176,44
177,161
178,44
179,161
180,44
181,161
182,44
183,161
184,44
185,161
186,44
187,161
188,44
189,161
190,44
191,161
192,44
193,161
194,44
195,161
196,44
197,161
198,44
199,161
200,44
201,161
202,44
203,161
204,44
205,161
206,44
207,161
208,44
209,161
210,44
211,161
212,44
213,161
214,44
215,161
216,44
217,161
218,44
219,161
220,44
221,161
222,44
223,161
224,44
225,161
226,44
227,161
228,44
229,161
230,44
231,161
232,44
233,161
234,44
235,161
236,44
237,161
238,44
239,161
240,44
241,161
242,44
243,161
244,44
245,161
246,44
247,161
248,44
249,161
250,44
251,161
252,44
253,161
254,44
255,161
256,44
257,161
258,44
259,161
260,44
261,161
262,44
263,161
264,44
265,161
266,44
267,161
268,44
269,161
270,44
271,161
272,44
273,161
274,44
275,161
276,44
277,161
278,44
279,161
280,44
281,161
282,44
283,161
284,44
285,161
286,44
287,161
288,44
289,161
290,44
291,161
292,44
293,161
294,44
295,161
296,44
297,161
298,44
299,161
300,44
301,161
302,44
303,161
304,44
305,161
306,44
307,161
308,44
309,161
310,44
311,161
312,44
313,161
314,44
315,161
316,44
317,161
318,44
319,161
320,44
321,161
322,44
323,161
324,44
325,161
326,44
327,161
328,44
329,161
330,44
331,161
332,44
333,161
334,44
335,161
336,44
337,161
338,44
339,161
340,44
341,161
342,44
343,161
344,44
345,161
346,44
347,161
348,44
349,161
350,44
351,161
352,44
353,161
354,44
355,161
356,44
357,161
358,44
359,161
360,44
361,161
362,44
363,161
364,44
365,161
366,44
367,161
368,44
369,161
370,44
371,161
372,44
373,161
374,44
375,161
376,44
377,161
378,44
379,161
380,44
381,161
382,44
383,161
384,44
385,161
386,44
387,161
388,44
389,161
390,44
391,161
392,44
393,161
394,44
395,161
396,44
397,161
398,44
399,161
400,44
401,161
402,44
403,161
404,44
405,161
406,44
407,161
408,44
409,161
410,44
411,161
412,44
413,161
414,44
415,161
416,44
417,161
418,44
419,161
420,44
421,161
422,44
423,161
424,44
425,161
426,44
427,161
428,44
429,161
430,44
431,161
432,44
433,161
